source,chapter,page,tags,question,a,b,c,d ,answer,display
Appendix,16,816,"Science, Phases",Select the states of matters.,"Oil, water, and proteins.","Water, gas, oil, and solid.","Solid, liquid, and gas.","Liquid, gases, and foam.",C,true 
Appendix,16,816,"Science, Phases",Which of the following is not a phase?,Solid,Liquid,Gel,Gas,C,true 
Appendix,16,818,"Science, Chemistry",Select the following statement about chemistry primer which is NOT true.,A solution is a material in which individual ions or molecules are dispersed in a liquid.,A suspension is a material in which a substance is dispersed in a liquid in cluster or particles consisting of many molecules.,"An emulsion is a kind of suspension, one in which the dispersed substance is a liquid that can mix evenly with the containing liquid.",A foam is a dispersion of gas bubbles in a liquid or solid.,C,true 
Appendix,16,817,"Science, Phases",Explain the difference between the molecular structure of liquid vs. gas.,The molecules in liquid are spread further a part.,The molecules in gases are spread further a part.,The molecules in liquids more slower than in gases.,Both B and C,D,true 
Appendix,16,814,"Science, Chemistry",Explain what makes a strong bond of molecules.,When two atoms have roughly similar affinities and share electrons rather than losing or gaining them.,When two atoms have different affinities and the electrons differ,When two atoms share negative electrons,When two atoms are clones of one another,A,true 
Appendix,16,817,"Science, Phases",Explain the differences between solids and gases.,"Solids are immobilized neurons and protons that are tight to each other in well definded structures, while gases are molecules that separate and move freely in the air.","Solids are immobilized atoms and molecules that are tight to each other in well-definded structures, while gases are molecules that separate and move freely in the air.","Solids are closely packed together molecules, while gases are molecules leaving a fixed structure","Solids are closely packed together molecules, while gases are molecules that remain in a fixed structure.",B,true 
Appendix,16,818,"Science, Phases",Select which mixture in the kitchen is the dispersion of gas bubbles in a liquid or solid.,Emulsion,Gel,Substance,Foam,D,true 
Appendix,16,817,"Science, Phases",Select the three different phases or appearance of matter.,"Crystals, Air, Dust","Cream, Liquids, Gels","Solids, Liquids, Gases",Not sure,C,true 
Appendix,16,818,Science,Compare a solution and a suspension.,"A solution occurs when something is dissolved in water, while a suspension occurs when something is dissolved in anything else.","A solution occurs when two liquids are mixed together, while a suspension occurs when a solid ingredient in mixed into (""suspended in"") a liquid ingredient.","A solution occurs when individual molecules are dispersed into a liquid, while a suspension occurs when a substance is disperse in a liquid in particles containing many molecules.","A solution occurs when water is dispersed in a solid ingredient, while a suspension occurs when gas is dispersed in a solid ingredient.",C,true 
Appendix,16,812,"Science, Chemistry",Chemical reactions can be explained as: ,"When two or more atoms bond together by sharing electrons, they form a chemical reaction.",The rearrangement of an atoms protons and neutrons in it's nucleus due to an electrical pull.,"The resulting loss, gain, or sharing of electrons among atoms and molecules when they encounter one another.",The interaction between atoms or molecules that bond them together either very loosely or tightly.,C,true 
Appendix,16,813,"Science, Chemistry",Explain what oxidation refers to.,It simply means the presence of oxygen in the atmosphere.,"It is a chemical activity of ""grabbing"" protons from other atoms.","It is a chemical activity of ""grabbing"" electrons from other atoms.",Making other molecules oxide themselves.,C,true 
Appendix,16,813,"Science, Energy",Select the best answer about energy.,energy is not that property of physical systems that makes possible change,one kind of energy  is the energy of motion,The moon is a source of earths energy,Plants do not produce energy,B,true 
Appendix,16,813,"Science, Chemistry",Order chemical bonds from weakest to strongest.,"Hydrogen, Ionic, Covalent, Van der Waals","Van der Waals, Hydrogen, Ionic, Covalent","Ionic, Van der Waals, Covalent, Hydrogen","Covalent, Hydrogen, Van der Waals, Ionic",B,true 
Appendix,16,817,"Science, Phases",Explain the differences between solution and foam.,"Solution disperses ions into a liquid, foam disperses gas.","Solution disperses ions into a solid form, foam disperses into liquid.","Solution disperses into gas, foam disperses into liquid.",Solutions and foam don't disperse into anything.,A,true 
Appendix,16,818,"Science, Water",Identify which mixture in the kitchen is a dispersion of water in a solid?,Gel,Solution,Suspension,Foam,A,true 
Appendix,16,812,"Science, Chemistry",Explain the process of oxidation.,Oxidation occurs when other atoms grab electrons from oxygen.,Oxidation occurs when oxygen grabs electrons from other atoms.,Oxidation occurs when two oxygen atoms share electrons.,Oxidation occurs when oxygen electrons duplicate,B,true 
Appendix,16,818,"Science, Phases",Explain what happens when there is a suspension,Individual molecules are dispersed in a liquid,Molecules of the solid form are trapped,Substance is dispersed consisting of molecules,Gas bubbles disperses in a liquid of solid,C,true 
Appendix,16,817,"Science, Phases",Which are the three phases of matter?,"Solids, Liquids, Gases","Air, Water, Fire","Trees, Rocks, Water","Steam, Ice, Water",A,true 
Appendix,16,811,"Science, Chemistry",What are atoms made up of?,"Electrons, protons, and neutrons","Quark, Nucleus, and electrons","Nucleus, protons, and quark","Neutrons, nucleus, and electrons",A,true 
Appendix,16,815,"Science, Chemistry","Please select which word is the ""key behavior"" of a chemical bond.",Force,Space,Energy,Crystallization,C,true 
Appendix,16,818,"Science, Phases",Select the best definition for an emulsion.,A material in which a substance is dispersed in a liquid in clusters or particles consisting of many molecules.,A suspension in which the dispersed substance is a liquid that can't mix evenly with the containing liquid.,A dispersion of water in a solid.,A dispersion of gas bubbles in a liquid or solid.,B,true 
Appendix,16,813,"Science, Chemistry",Order the following chemical bonds from weakest to strongest:,"Hydrogen, van der Waals, covalent, Ionic","Ionic, covalent, Hydrogen, van der Waals","van der Waals, Hydrogen, covalent, Ionic","covalent, Ionic, van der Waals, Hydrogen",C,true 
Appendix,16,812,Science,Explain the structure of carbon.,Six protons and neutrons in its nucleus + six electrons orbiting around the nucleus.,Six protons and neutrons in its nucleus + four electrons orbiting around the nucleus.,four protons and neutrons in its nucleus + six electrons orbiting around the nucleus.,Four protons and neutrons in its nucleus + five electrons orbiting around the nucleus.,A,true 
Appendix,16,814,"Science, Chemistry",Select the chemical bond type for strong bonds that make molecules.,Hydrogen bond.,van der Waals bond.,Covalent bond.,Ionic bond.,C,true 
Appendix,16,805,"Science, Proteins",Choose the correct statement.,Amino acids have little to no variety in terms of chemical nature.,Starch is the least important polysaccharide.,Glycogen is a human carbohydrate.,Proteins are ever changing in terms of stability and thus the most mercurial of major food molecules.,D,true 
Appendix,16,813,"Science, Chemistry",Select the basis for the chemical bond?,Proton hunger,Electron hunger,Proton saturation,Electron saturation,B,true 
Appendix,16,817,"Science, Phases",How can we explain the liquid phase to gas phase?,We transform liquid water into bubbles of water vapor,We transform liquid water into bubbles,Molecules don_验t move with Kinetic Energy,Phase will change when heated,A,true 
Appendix,16,811,Science,As explained in McGee the word atom means ______.,Smallest one,Uncuttable,Adam,Only one,B,true 
Appendix,16,814,Science,Select the six elements most important to life on earth.,"Hydrogen, oxygen, carbon, nitrogen, phosphorus, sulfur","Mercury, led, nitrogen, hydrogen, oxygen, sulfur","Magnesium, aluminum, carbon, sulfur, uranium, hydrogen","Zinc, carbon, boron, oxygen, hydrogen, sulfur",A,true 
Appendix,16,811,Science,Explain the difference between an atom and an ion.,an atom is the smallest particle of matter while ions are the largest,"an atom is not electrically charged, but an ion is an electrically charged atom","atoms form every substance, but ions only form electrically charged substances","an atom can be created, but an ion cannot",B,true 
Appendix,16,816,Science,Order the states of matter from highly closely bonded atoms to loosely bonded atoms.,"Crystalline Solid, Glassy Solid, Liquid, Gas","Glassy Solid, Crystalline Solid, Gas, Liquid","Gas, Liquid, Crystalline Solid, Glassy Solid","Liquid, Gas, Glassy Solid, Crystalline Solid",A,true 
Appendix,16,812,Science,Explain what a chemical reaction is.,"Encounters among atoms and molecules that result in the loss, gain, or sharing of electrons, and thus changes in the properties of the atoms and molecules involved.","Encounters among atoms and molecules that result in the transformation of protons into electrons, and thus changes in the properties of the atoms and molecules involved.","Encounters among atoms and molecules that result in the loss, gain, or sharing of neutrons, and thus changes in the properties of the atoms and molecules involved.","Encounters among atoms and molecules that result in the transformation of electrons into protons, and thus changes in the properties of the atoms and molecules involved.",A,true 
Appendix,16,815,Science,In order for a bond to be considered strong what is a key characteristic?,The bond will have more energy than a weak bond,The bond will have less energy than a weak bond,The bond will have the same amount energy as a weak bond,The bond will have zero energy compared to any other bond,B,true 
Appendix,16,812,Science,Select which statement is FALSE about protons and electrons?,Opposite electrical charges attract each other,Stable forms of the elements are electrically neutral,Protons carry a negative electrical charge while electrons have a positive charge.,Protons in the central nucleus attract a cloud of electrons that orbit constantly at various distances around the nucleus.,C,true 
Appendix,16,813,Science,Explain salt's chemical makeup as an ionic bond.,Salt is only sodium,Salt is a compound of sodium and chlorine held together with ionic bonds,"Salt is a compound of sodium, chlorine, and hydrogen held together with ionic bonds.",Salt is a compound of sodium and any other element usually held together with ionic bonds.,B,true 
Appendix,16,817,Science,"Explain what what causes ""Freezer Burn"".",When you put something cold on your skin for to long,Frozen water molecules releasing as gas,Letting foods thaw out.,Not allowing foods to freeze long enough.,B,true 
Appendix,16,816,Science,Explain why the temperature of a pot of boiling water on high flame remains constant at the boiling point.,All the liquid water becomes steam before it gets hotter.,The water temperature stays the same when the flame level is constant.,Both A and B,All of the above.,A,true 
Appendix,16,816,Science,Select the correct response for The Phases of Matter for the transition to the liquid phase.,Temperature at which a material melts_研changes from solid to gas,Temperature at which a material melts_研 changes from solid to a liquid,Temperature at which a material boils_研 changes from a solid to liquid,Temperature at which a material boils_研 changes from a liquid to a gas,B,true 
Appendix,16,816,Science,Select the 3 stages of matter?,"Hard, Solid, Liquid","Liquid, Gas, Hard","Gas, liquid, Solid","Soft, Solid, Gas",C,true 
Appendix,16,817,Science,Select the 3 phases of matter,"suspension, gel, foam","liquid, solid, gas","solution, emulsion, foam","gel, solution, emulsion",B,true 
Appendix,16,818,Science,"Due to the structure of bread, you can infer that is is what type of mixture?",Solution,Suspension,Foam,Solid,C,true 
Appendix,16,817,Science,Explain the difference between molecules in a solid vs molecules in a gas,Molecules in a solid spread out where molecules in a gas are compacted,Molecules in a solid are constantly moving where molecules in a gas are motionless,"Molecules in a solid are closely packed, well-defined structures where molecules in a gas break away and move freely",Molecules in both solids and gases move freely and spread out,C,true 
Appendix,16,815,Science,Explain why energy is fundamentally important in cooking:,Energy is responsible for physical changes and allows food to change its molecular structure.,Energy allows for chemical bonds to be broken.,"Energy allows food to be heated to the proper temperature, killing potentially harmful pathogens and bacteria.",Energy causes motion.,A,true 
Appendix,16,811,Science,Select the answer that best completes this statement: A(n) _______ is the smallest particle into which an element can be subdivided without losing its characteristic properties.,Electron,Neutron,Proton,Atom,D,true 
Appendix,16,818,Science,What is an emulsion?,a material in which individual ions or molecules are dispersed in a liquid,"a special kind of suspension, in which the dispersed substance is a liquid that cant mix evenly with the containing liquid",a dispersion of gas bubbles in a liquid or solid,a material in which a substance is dispersed in a liquid in clusters or particles consisting of many molecules,B,true 
Appendix,16,816,Science,How many matter phases are there?,2,5,4,1,C,true 
Appendix,16,792,Measurement,Please Identify the Four Basic Food Molecules.,"Water, Fats, Carbohydrates, Proteins","Water, Oils, Proteins, Starches","H20, Carbohydrates, Vegetation, Water","Sugars, Fats, Oils, Fruits",A,true 
Chapter 1,1,15,"Milk, Nutrition",Define two nutritional characteristics that is especially valued in milk.,Calcium and water,Calcium and protein,Protein and water,Lactose and protein,B,true 
Chapter 1,1,10,Milk,List what substances are produced from milk left to stand.,"Mold, Milk, Walk","Blue Cheese, Water, Milk","Curds, Yogurt, Butter","Milk, Butter, Mold",C,true 
Chapter 1,1,14,"Milk, Nutrition",Describe lactose intolerance.,human are allergic to milk,"lactase- lactose digesting enzyme, level decreases after birth",white blood cells in milk cannot be consumed by humans,the pathogens in milk causes lactose intolerance,B,true 
Chapter 1,1,15,"Milk, Nutrition",Describe the main influences on Bone Health.,Getting plenty of sleep and sunshine.,Intake of calcium and physical activity.,Doing mental exercises to increase brain activity.,Avoiding overly rich deserts and switching to gluten free foods.,B,true 
Chapter 1,1,13,"Milk, Nutrition, Food Science",Describe lactose:,The bacteria found in milk before the pasteurization process.,One of the main properties of milk the body turns into calcium as it is digested.,Sugar found in milk that most adult humans are unable to digest.,A trace mineral found in milk that is especially beneficial to infants.,C,true 
Chapter 1,1,10,"Milk, Nutrition",Describe how Yak milk is different from Cow milk.,Yak milk is richer in fat and protein than cow milk.,Yak milk is poorer in fat and protein than cow milk.,Yak milk is richer in vitamins and protein than cow milk.,Yak milk is lower in vitamins and protein than cow milk.,A,true 
Chapter 1,1,13,"Milk, Nutrition",Identify why cow's milk is not the best option for infants.,Balance of nutrients in cow's milk doesn't meet the needs of human infants.,Not worth the risk of exposing infants to milk from other sources than mother.,Connection between mother and infant would not be established.,The level of saturated fat is to high for the infant to consume.,A,true 
Chapter 1,1,9,Milk,Describe the key to the rise of ruminants?,The evolved ability to survive on dry grass.,"Their highly specialized, multichamber stomach.",The shift towards warmer climate.,The increased growth of non fibrous foods.,B,true 
Chapter 1,1,14,Milk,Describe why do physicians recommend that plain cow_验s milk not be fed to children less than 1 year of age.,Increases the potential for diseases at a young age,Early use of cow milk can trigger an allergy at a young age,Plain cow_验s milk does not provide sufficient nutrients at a young age,The milk sugar lactose causes digestive issues at a young age,B,true 
Chapter 1,1,9,Milk,Please list three types of dairy animals from around the world that contributes significantly to the world's milk supply.,"cats, cows, and pigs","camels, yaks, and goats","buffalo, goats, and dogs","cows, birds, camels",B,true 
Chapter 1,1,4,Food Science,Name the four kinds of molecules that foods are mostly built out of.,"Water, oils, carbohydrates, and calories","Water, proteins, sugars, and fats","Water, proteins, carbohydrates, and fats","Water, meat, carbohydrates, and shortening",C,true 
Chapter 1,1,15,"Milk, Nutrition",Identify the condition that causes bones to fracture if the body doesn't receive enough calcium.,Lactose Intolerance,Scaffolding,Osteoporosis,Neutralizing,C,true 
Chapter 1,1,10,Milk,Whose milk is richer in protein than the buffalo?,The Camel,The Goat,The Sheep,The Yak,C,true 
Chapter 1,1,13,"Milk, Nutrition",Identify one of following which is not milk nutrients that benefits human beings.,Protein,Lactose,Saturated Fat,Minerals,C,true 
Chapter 1,1,13,"Milk, Nutrition",How much more proteins and nutrients do cow's milk contain vs. mother's milk?,Three times,One time,Two times,Four times,C,true 
Chapter 1,1,14,"Milk, Nutrition",When was cow's milk introduced as an appropriate substitute for mother's milk?,~77 A.D.,The late 1400's.,As far back as we can remember.,The middle of the 20th century.,D,true 
Chapter 1,1,14,"Milk, Nutrition","Sara recently turned 18. She hasn't had a glass of milk since the age of five. Sara friends thought it was strange and dared her to drink two glasses of milk. The next day, Sara felt bloated and had diarrhea. What term will define why Sara is experience discomfort?",Frutose Intolerant,Lactose Intolerant,Mlik Allergy,Osteoporosis,B,true 
Chapter 1,1,13,"Milk, Nutrition",Describe what humans have learned over time that has shaded the idealized portrait of milk.,Milk manufacturers constantly abuse cows in order to make milk.,Cows' milk does not meet the need of human infants and most adults cannot digest the milk sugar called lactose.,There aren't enough vitamins in milk to make stronger bones,None of these  are correct,B,true 
Chapter 1,1,14,"Milk, Nutrition",Describe why lactose intolerance is so prevalent in humans.,The mass homogenization of milk production has led to added chemicals for preservation purposes that human bodies do not tolerate well.,The amount of digestive enzymes in the human body that can break down lactose starts to decline at about two years of age.,"More people are developing milk allergies due to being given cow's milk as infants which their digestive systems were not yet formed enough to break down, allowing certain proteins to enter the blood.",Human bodies originally only tolerated human milk and have to try and adapt/compensate for the differences in cow's milk.,B,true 
Chapter 1,1,12,"Milk, Food Science",Describe the process of pasteurization as it relates to dairy products in modern dairy farming.,The process of super-cooling dairy in order to destroy unsafe pathogens.,A pathogen killing heat treatment which renders dairy safer for consumers.,The practice of mass producing dairy derived from pasture raised ruminants.,The removal of delicate and flavorful milk fat from dairy to produce a uniform product.,B,true 
Chapter 1,1,9,"Milk, History",When did the Arabs bring buffalo to the Middle East?,Around 700 BC,Exactly in 1121,Around 700 CE,Around 200 CE,C,true 
Chapter 1,1,12,"Milk, Food Science",Define pasteurization.,The use of microbial cultures in cheese production,Tainted milk production due to inadequate cattle feeding,The process of removing or separating milk fat from milk,Heat treatment that kills pathogens in dairy products,D,true 
Chapter 1,1,9,"Milk, History",Identify the region in Italy where true mozzarella comes from.,Abruzzo,Calabria,Campagna,Lazio,C,true 
Chapter 1,1,9,Milk,"What animal is not included in the section on ""Dairy Animals of the World""?",Buffalo,Sheep,llama,Camel,C,true 
Chapter 1,1,11,"Milk, History",Identify which major region of the Old World did not embrace dairying.,Germany,Portugal,China,North Africa,C,true 
Chapter 1,1,9,Milk,Name an animal that is not considered to be a ruminant.,Deer,Goats,Horses,Sheep,C,true 
Chapter 1,1,13,"Milk, Nutrition",Identify which order is from least to greatest amount of lactose.,"Buffalo, Yak, Goat, Cow","Goat, Cow, Yak, Buffalo","Goat, Yak, Cow, Buffalo","Yak, Cow, Buffalo, Goat",C,true 
Chapter 1,1,10,"Milk, History",Farmers discovered in ancient times that dairying animals provided:,The nutritional equivalent of one years worth of meat spread out over several years.,The ability for the animal to gain weight before slaughter.,Farmers a hobby to do in their spare time.,One year supply of milk,A,true 
Chapter 1,1,15,"Milk, Nutrition","According to the readings, milk is valued for two nutritional reasons. They are:",High in calcium and protein,High in calcium and vitamin a,High in protein and vitamin a,High in vitamin a and d,A,true 
Chapter 1,1,4,Food Science,Define the qualities that we aim to influence in the kitchen.,"Taste, Aroma, Texture, Color, Nutritiousness",Smell and Flavor,Caloric intake,The food pyramid,A,true 
Chapter 1,1,13,"Milk, Nutrition",Identify which land mammal has the highest concentration of fat in their milk.,Human,Buffalo,Sheep,Cow,C,true 
Chapter 1,1,4,"Milk, Food Science",List the four kind of molecules that food is mostly made of.,"Water, Vitamin C, Carbohydrates, and Fats.","Water, Proteins, Carbohydrates, and Fats.","Vitamin B1, Proteins, Carbohydrates, and Glucose.","Lactose, Proteins, Carbohydrates, and Glucose.",B,true 
Chapter 1,1,2,"Milk, History",Who was one of the driving forces behind the food science movement who also organized the first International Workshop on Molecular and Physical Gastronomy?,Nicholas Kurti,Julia Child,Madeleine Kamman,Herve This,A,true 
Chapter 1,1,15,"Milk, Nutrition",Identify the correlation between calcium and bone construction.,The amount of calcium available to us is dependent on how much our urine excretes.,Neutralizing calcium bones deteriorate when a diet consists of high salt intake.,Bones are created from two primary materials: proteins and calcium phosphate.,Healthy bone construction is dependent on calcium levels in the body as well as absorption of calcium.,D,true 
Chapter 1,1,9,Milk,Describe what allows ruminants to process dried grass for food?,A special enzyme they produce,Specialized breeding by humans,"A highly specialized, multi-chamber stomach",Dried grass is nutritious and many animals survive on it,C,true 
Chapter 1,1,12,"Milk, Food Science",Define pasteurization.,Purified microbial cultures to make cheeses and other fermented foods,A step to complete pastries,The process of how cows eat,"Process of supplying milk to factories for mass production of cream, butter, and cheese",A,true 
Chapter 1,1,12,"Milk, History",Describe two milk innovations of the 19th Century.,Standard purified microbial cultures and mass milk production,Pasteurization and ghee,Pasteurization and standard purified microbial cultures,Pasteurization and mass milk production,C,true 
Chapter 1,1,9,Milk,List the species of animals that contribute to the world's milk supply most.,"Yak, Cow, Goat, Horse, Goat","Cow, Buffalo, Yak, Goat, Sheep, Camel","Buffalo, Cow, Reindeer, Yak, Goat, Sheep","Cow, Fin whale, Yak, Buffalo, Sheep",B,true 
Chapter 1,1,10,Milk,Describe what happens to milk if it is left out to stand.,"Fat-enriched cream naturally forms at the top, and if agitated, the cream becomes butter.",The milk goes sour and needs to be thrown away.,Mold start to form.,The milk separates and the protein in milk floats to the top.,A,true 
Chapter 1,1,10,Milk,"When milk is left standing, what happens?",The milk becomes sour and is unable to drank,Enriched cream forms and if agitated it becomes butter,An acid forms which breaks the lactose making it lactose free.,It becomes fermented and is becomes slightly alcoholic.,B,true 
Chapter 1,1,11,"Milk, History",What country did not embrace dairying in the old world?,France,Rome,China,Egypt,C,true 
Chapter 1,1,14,"Milk, Nutrition",Which countries have the highest lactose intolerance?,France & Germany,"Norway, Sweden, & Denmark","China, Japan, Thailand",Italy & Greece,B,true 
Chapter 1,1,9,Milk,Describe ruminants.,"Cows, ewe, and yaks that are omnivores and lactate occasionally","Cattle, sheep, and goats that have simple, one-chambered stomachs","Cattle, sheep, and goats that can survive on grass and produce milk",Animals that are mammals,C,true 
Chapter 1,1,15,"Milk, Nutrition",Tell which two nutritional characteristics milk has been valued for.,"Calcium, and its protein.","Water, and its protein.","Lactose, and Fat.","Calcium, and Minerals.",A,true 
Chapter 1,1,14,Milk,Identify how much milk can a lactose-less adult consume per day without experiencing severe symptoms of lactose intolerance?,1 cup,1/2 cup,2 cups,3 cups,A,true 
Chapter 1,1,11,"Milk, History",Identify one of the major causes of child mortality in Victorian Times?,Pasteurization had yet to be introduced to dairy,Tainted Milk from open containers during transportation,The small intestine wasn't able to break down lactose sugars,Children were consuming too much milk at a young age,B,true 
Chapter 1,1,15,"Milk, Nutrition",What are the two nutritional characteristics in milk,Calcium and Protein,Protein and Lactose,Calcium and Lactose,Protein and Sugar,A,true 
Chapter 1,1,13,"Milk, Nutrition","Please describe the correct answer: What is made up of fat,  protein, lactose, minerals, water?",yogurt,cheese,milk,coffee creamer,C,true 
Chapter 1,1,13,Milk,Identify which animals milk contains the most fat.,Human,Horse,Reindeer,Fin Whale,D,true 
Chapter 1,1,14,Milk,Why are most adults lactose intolerant?,"as humans age the lactose-digesting enzyme, lactase, declines",all humans are born lactose intolerant,"as humans age the lactose-digesting enzyme, lactase, increases too much",most adults are not lactose intolerant,A,true 
Chapter 1,1,16,Milk,Identify the optimum sequence for milk production.,"Breed the cow 90 days after it calves, milk it for 10 months and let it go dry for the next 2 months before calving again.",Cows who calve should not be producing milk.,"Breed the cow 30 days after it calves, milk it for 5 months and let it go dry for the next 1 month before calving again.",The only requirement is that you milk the cow two weeks post-calve.,A,true 
Chapter 1,1,13,Milk,Identify which of the following body building nutrients milk does not contain.,Sugars & Fats,Calcium,Vitamin A,Vitamin C,D,true 
Chapter 10,10,556,"Baking, Lipids",Differentiate between hydrogenated shortening and butter.,Hydrogenated shortening has more flavor then butter,Bakers do not avoid hydrogenated shortening but do avoid butter,Hydrogenated shortening has a lower level of trans fatty acids butter,Butter has a lower level of trans fatty acids than hydrogenated shortening,D,true 
Chapter 10,10,555,"Baking, Cakes",Describe what two modern ingredient innovations that aided the most in transforming the cake-making process.,Genetically modified yeast for proper batter-rising AND artificial vanilla extract for taste.,Special shortenings infused with Nitrogen to create air pockets AND bleached flour to aid in absorbing water.,Organically grown eggs for taste AND curdled milk for texture.,Natural peanut oil for taste improvement AND oxygen-infused butter for easier mixing.,B,true 
Chapter 10,10,555,"Baking, Flour, Cakes",Describe the specialized cake flour,finely milled,bleached with chlorine gas or chlorine dioxide,low-protein,all of the above,D,true 
Chapter 10,10,559,Baking,"Interpret what is meant by this statement. ""In the last stage of baking we tested the doneness of the cake by putting a toothpick in it, once pulled out the toothpick had batter stuck to it"".",The cake was in its browning stage and is finished.,The cake was in its browning stage and was underdone.,The cake was in its expansion stage and needed further baking.,The cake was in its expansion stage and shouldn't have had batter stuck to it.,B,true 
Chapter 10,10,555,"Baking, Cakes","Summarize how a ""high ratio"" cake mix was made possible.",New shortening and double-acting baking powders allow sugar to outweigh the flour while maintaining the desired light and moist texture.,"High-protein flour was bleached, stabilizing gas cells during mixing and baking, allowing twice as much sugar while maintaining the desired light, moist, texture.","Unsaturated shortening allowed tiny nitrogen bubbles to form in the mixing process, allowing twice as much sugar while maintaining the desired light, moist, texture.","Special sugar treated with chlorine made it less dense, allowing the sugar to flour ratio to be much higher, while maintaining the desired texture.",A,true 
Chapter 10,10,558,"Baking, Cakes","In cake making, describe how the mixing step doesn_验t just combine the ingredients.","By incorporating air bubbles into the batter, and thereby strongly influencing the final texture of the cake.","By smoothing the batter, and thereby strongly influencing the final taste of the cake.","By incorporating air bubbles into the batter, and thereby strongly influencing the final taste of the cake.","By incorporating smoothing the batter, and thereby strongly influencing the final texture of the cake.",A,true 
Chapter 10,10,556,"Baking, Lipids, Cakes",Summarize which order is from least to greatest amount of fat.,"Pound Cake, Butter Cake, Biscuit, Chiffon","Biscuit, Butter Cake, Chiffon, Pound Cake","Butter Cake, Biscuit, Chiffon, Pound Cake","Butter Cake, Pound Cake, Biscuit, Chiffon",B,true 
Chapter 10,10,554,"Baking, Cakes",Describe a sign of incomplete mixing in a finished bread or muffin.,The surface contains small brown spots appear on the surface.,The surface appears flat and uneven.,"The surface produces a less tender, finer interior.",The surface has bubbles that trap gas underneath.,A,true 
Chapter 10,10,556,"Baking, Cakes",Describe the disadvantage of using hydrogenated vegetable shortenings for cakes.,Hydrogenated shortenings create fragile air bubble structures within the cake,Hydrogenated shortenings cause cakes to be denser,Hydrogenated shortenings contain high levels of trans fatty acids,Hydrogenated shortenings cannot transfer heat evenly throughout the cake,C,true 
Chapter 10,10,556,Baking,What variable differentiates hydrogenated vegetable shortening from butter in the opinion of some chefs?,Color,Texture,Fat Content,Flavor,D,true 
Chapter 10,10,559,"Baking, Cakes",Describe the second stage of cake baking.,"Egg proteins coagulate, and starch granules absorb water, swell, and gelate.",The batter rises to full volume. The gasses in the air cells expand.,Emulsifiers disperse the fat in droplets that won't deflate the gas cells.,"Batter solidification completes. Browning occurs, and the cake shrinks in size.",A,true 
Chapter 10,10,550,Baking,Differentiate a batter from a dough.,"A batter is a form, whereas a dough is a type of fluid.",Batters contain two or four times more water than doughs.,Doughs are mixed and cooked in a bowl to contain their form.,Doughs are meant to be delicate and tender.,B,true 
Chapter 10,10,558,"Baking, Heat Transfer, Cakes",Which one of the following are not associated with the stages of baking a cake?,Expansion,Rising,Browning,Setting,B,true 
